1,1,主人公はどこの国の王子であるか？,ラダトーム,アリアハン,リムルダール,ロマリア,1
1,1,ラスボスの名前は？,バラモス,ハーゴン,竜王,ゾーマ,3
1,1,マイラの村で手に入れる笛は？,雨雲の笛,太陽の笛,妖精の笛,虹の笛,3
1,1,このシリーズで唯一のカギは？,盗賊のカギ,魔法のカギ,最後のかぎ,太陽のかぎ,2
1,1,ローラ姫はどのモンスターを倒すと救えるか？,竜王,ゴーレム,ドラゴン,悪魔の騎士,3
1,1,物語スタート直後、王様から貰うお金はいくらか？,１００G,１２０G,１５０G,２００G,2
1,1,ガライの墓で手に入れるものは？,太陽の石,銀の竪琴,魔法のかぎ,妖精の笛,2
1,1,ローラ姫を連れて王様に話しかけて貰うものは？,王女の愛,王女の髪飾り,王女のティアラ,王女の心,1
1,1,雨のほこらで老人から貰うものは？,虹のしずく,雷鳴の杖,雨のしずく,雨雲の杖,4
1,1,虹のしずくを入手するために必要なアイテムは？,ロトの印,ロトの鎧,ロトの剣,りゅうのうろこ,1
1,1,ガライの町で得る情報は？,竜王の居場所,ローラ姫の居場所,妖精の笛の効果,ゴーレムの弱点,2
1,1,マップ上一番東にあるものは？,竜王の城,マイラの村,ロトの洞窟,メルキドの町,2
1,1,マップ上一番北にあるものは？,ガライ町,ラダトーム,リムルダールの町,聖なるほこら,1
1,1,毒沼の中央で入手するものは？,ロトの印,太陽の石,雨雲の杖,妖精の笛,1
1,1,竜王の城へ向かう途中に橋を作るのに必要なものは？,虹のしずく,ロトの印,太陽の笛,太陽の石,1
1,2,勇者が初めて覚える呪文は？,ギラ,ホイミ,ルーラ,ラリホー,2
1,2,ホイミの消費MPは？,2,3,4,5,2
1,2,ベホイミの消費MPは？,5,6,7,8,4
1,2,ギラのダメージ量は？（一番近いものはどれ）,10,20,30,40,1
1,2,ベギラマのダメージ量は？（一番近いものはどれ）,30,40,50,80,3
1,2,勇者が最後に覚える呪文は？,ベホイミ,ベギラマ,メラミ,ライデイン,2
1,2,最強の剣は？,ロトの剣,炎の剣,稲妻の剣,王者の剣,1
1,2,ロトの鎧の守備力は？,28,34,42,48,1
1,2,最強の盾は？,ロトの盾,みかがみの盾,はぐれメタルの盾,魔法の盾,2
1,2,購入できる最強の剣は？,炎の剣,はじゃの剣,吹雪の剣,鋼の剣,1
1,2,竜のうろこの守備力は？,3,5,7,10,2
1,2,ドラクエ１の作中にない魔法は？,リレミト,ルーラ,トヘロス,トラマナ,4
